car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1.0,3.0,1,1,1,1,1,1,1,88.6,168.8,64.1,48.8,2548.0,1,1,130.0,1,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,269900.0
2.0,3.0,2,1,1,1,1,1,1,88.6,168.8,64.1,48.8,2548.0,1,1,130.0,1,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,330000.0
3.0,1.0,3,1,1,1,2,1,1,94.5,171.2,65.5,52.4,2823.0,2,2,152.0,1,2.68,3.47,9.0,154.0,5000.0,19.0,26.0,330000.0
4.0,2.0,4,1,1,2,3,2,1,99.8,176.6,66.2,54.3,2337.0,3,1,109.0,1,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,279000.0
5.0,2.0,5,1,1,2,3,3,1,99.4,176.6,66.4,54.3,2824.0,3,3,136.0,1,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,349000.0
6.0,2.0,6,1,1,1,3,2,1,99.8,177.3,66.3,53.1,2507.0,3,3,136.0,1,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,305000.0
7.0,1.0,5,1,1,2,3,2,1,105.8,192.7,71.4,55.7,2844.0,3,3,136.0,1,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,354200.0
8.0,1.0,7,1,1,2,4,2,1,105.8,192.7,71.4,55.7,2954.0,3,3,136.0,1,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,378400.0
9.0,1.0,8,1,2,2,3,2,1,105.8,192.7,71.4,55.9,3086.0,3,3,131.0,1,3.13,3.4,8.3,140.0,5500.0,17.0,20.0,477500.0
10.0,0.0,9,1,2,1,2,3,1,99.5,178.2,67.9,52.0,3053.0,3,3,131.0,1,3.13,3.4,7.0,160.0,5500.0,16.0,22.0,357183.34
11.0,2.0,10,1,1,1,3,1,1,101.2,176.8,64.8,54.3,2395.0,3,1,108.0,1,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,328600.0
12.0,0.0,10,1,1,2,3,1,1,101.2,176.8,64.8,54.3,2395.0,3,1,108.0,1,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,338500.0
13.0,0.0,11,1,1,1,3,1,1,101.2,176.8,64.8,54.3,2710.0,3,2,164.0,1,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,419400.0
15.0,1.0,12,1,1,2,3,1,1,103.5,189.0,66.9,55.7,3055.0,3,2,164.0,1,3.31,3.19,9.0,121.0,4250.0,20.0,25.0,491300.0
18.0,0.0,13,1,1,2,3,1,1,110.0,197.0,70.9,56.3,3505.0,3,2,209.0,1,3.62,3.39,8.0,182.0,5400.0,15.0,20.0,737600.0
20.0,1.0,14,1,1,1,2,2,1,94.5,155.9,63.6,52.0,1874.0,3,1,90.0,2,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,125900.0
21.0,0.0,15,1,1,2,3,2,1,94.5,158.8,63.6,52.0,1909.0,3,1,90.0,2,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,131500.0
22.0,1.0,16,1,1,1,2,2,1,93.7,157.3,63.8,50.8,1876.0,3,1,90.0,2,2.97,3.23,9.41,68.0,5500.0,37.0,41.0,111440.0
23.0,1.0,17,1,1,1,2,2,1,93.7,157.3,63.8,50.8,1876.0,3,1,90.0,2,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,127540.0
25.0,1.0,18,1,1,2,2,2,1,93.7,157.3,63.8,50.6,1967.0,3,1,90.0,2,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,124580.0
26.0,1.0,19,1,1,2,3,2,1,93.7,157.3,63.8,50.6,1989.0,3,1,90.0,2,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,133840.0
27.0,1.0,20,1,1,2,3,2,1,93.7,157.3,63.8,50.6,1989.0,3,1,90.0,2,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,152180.0
28.0,1.0,21,1,2,1,3,2,1,93.7,157.3,63.8,50.6,2191.0,3,1,98.0,1,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,171160.0
29.0,-1.0,22,1,1,2,4,2,1,103.3,174.6,64.6,59.8,2535.0,3,1,122.0,2,3.34,3.46,8.5,88.0,5000.0,24.0,30.0,178420.0
30.0,3.0,23,1,2,1,2,2,1,95.9,173.2,66.3,50.2,2811.0,3,1,156.0,3,3.6,3.9,7.0,145.0,5000.0,19.0,24.0,259280.0
31.0,2.0,24,1,1,1,2,2,1,86.6,144.6,63.9,50.8,1713.0,3,1,92.0,4,2.91,3.41,9.6,58.0,4800.0,49.0,54.0,129580.0
32.0,2.0,25,1,1,1,2,2,1,86.6,144.6,63.9,50.8,1819.0,3,1,92.0,4,2.91,3.41,9.2,76.0,6000.0,31.0,38.0,137100.0
33.0,1.0,24,1,1,1,2,2,1,93.7,150.0,64.0,52.6,1837.0,3,1,79.0,4,2.91,3.07,10.1,60.0,5500.0,38.0,42.0,107980.0
34.0,1.0,26,1,1,1,2,2,1,93.7,150.0,64.0,52.6,1940.0,3,1,92.0,4,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,130580.0
35.0,1.0,25,1,1,1,2,2,1,93.7,150.0,64.0,52.6,1956.0,3,1,92.0,4,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,142580.0
37.0,0.0,27,1,1,2,4,2,1,96.5,157.1,63.9,58.3,2024.0,3,1,92.0,4,2.92,3.41,9.2,76.0,6000.0,30.0,34.0,145900.0
38.0,0.0,28,1,1,1,2,2,1,96.5,167.5,65.2,53.3,2236.0,3,1,110.0,4,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,157900.0
39.0,0.0,29,1,1,1,2,2,1,96.5,167.5,65.2,53.3,2289.0,3,1,110.0,4,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,181900.0
40.0,0.0,30,1,1,2,3,2,1,96.5,175.4,65.2,54.1,2304.0,3,1,110.0,4,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,176900.0
41.0,0.0,28,1,1,2,3,2,1,96.5,175.4,62.5,54.1,2372.0,3,1,110.0,4,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,205900.0
42.0,0.0,24,1,1,2,3,2,1,96.5,175.4,65.2,54.1,2465.0,3,1,110.0,1,3.15,3.58,9.0,101.0,5800.0,24.0,28.0,258900.0
43.0,1.0,31,1,1,1,3,2,1,96.5,169.1,66.0,51.0,2293.0,3,1,110.0,2,3.15,3.58,9.1,100.0,5500.0,25.0,31.0,206900.0
44.0,0.0,32,1,1,2,3,1,1,94.3,170.7,61.8,53.5,2337.0,3,1,111.0,2,3.31,3.23,8.5,78.0,4800.0,24.0,29.0,135700.0
45.0,1.0,33,1,1,1,3,2,1,94.5,155.9,63.6,52.0,1874.0,3,1,90.0,2,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,178330.0
47.0,2.0,33,1,1,1,2,1,1,96.0,172.6,65.2,51.4,2734.0,3,1,119.0,5,3.43,3.23,9.2,90.0,5000.0,24.0,29.0,220960.0
48.0,0.0,34,1,1,2,3,1,1,113.0,199.6,69.6,52.8,4066.0,1,2,258.0,1,3.63,4.17,8.1,176.0,4750.0,15.0,19.0,645000.0
49.0,0.0,35,1,1,2,3,1,1,113.0,199.6,69.6,52.8,4066.0,1,2,258.0,1,3.63,4.17,8.1,176.0,4750.0,15.0,19.0,711000.0
50.0,0.0,36,1,1,1,3,1,1,102.0,191.7,70.6,47.8,3950.0,2,4,326.0,1,3.54,2.76,11.5,262.0,5000.0,13.0,17.0,720000.0
51.0,1.0,37,1,1,1,2,2,1,93.1,159.1,64.2,54.1,1890.0,3,1,91.0,2,3.03,3.15,9.0,68.0,5000.0,30.0,31.0,103900.0
52.0,1.0,38,1,1,1,2,2,1,93.1,159.1,64.2,54.1,1900.0,3,1,91.0,2,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,121900.0
53.0,1.0,39,1,1,1,2,2,1,93.1,159.1,64.2,54.1,1905.0,3,1,91.0,2,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,135900.0
54.0,1.0,40,1,1,2,3,2,1,93.1,166.8,64.2,54.1,1945.0,3,1,91.0,2,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,133900.0
55.0,1.0,41,1,1,2,3,2,1,93.1,166.8,64.2,54.1,1950.0,3,1,91.0,2,3.08,3.15,9.0,68.0,5000.0,31.0,38.0,147900.0
56.0,3.0,42,1,1,1,2,1,1,95.3,169.0,65.7,49.6,2380.0,4,5,70.0,6,3.33,3.255,9.4,101.0,6000.0,17.0,23.0,218900.0
57.0,3.0,43,1,1,1,2,1,1,95.3,169.0,65.7,49.6,2380.0,4,5,70.0,6,3.33,3.255,9.4,101.0,6000.0,17.0,23.0,236900.0
58.0,3.0,44,1,1,1,2,1,1,95.3,169.0,65.7,49.6,2385.0,4,5,70.0,6,3.33,3.255,9.4,101.0,6000.0,17.0,23.0,272900.0
59.0,3.0,45,1,1,1,2,1,1,95.3,169.0,65.7,49.6,2500.0,4,5,80.0,1,3.33,3.255,9.4,135.0,6000.0,16.0,23.0,312900.0
60.0,1.0,42,1,1,1,2,2,1,98.8,177.8,66.5,53.7,2385.0,3,1,122.0,2,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,176900.0
61.0,0.0,46,1,1,2,3,2,1,98.8,177.8,66.5,55.5,2410.0,3,1,122.0,2,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,169900.0
62.0,1.0,47,1,1,1,2,2,1,98.8,177.8,66.5,53.7,2385.0,3,1,122.0,2,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,211900.0
63.0,0.0,40,1,1,2,3,2,1,98.8,177.8,66.5,55.5,2410.0,3,1,122.0,2,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,204900.0
64.0,0.0,41,2,1,2,3,2,1,98.8,177.8,66.5,55.5,2443.0,3,1,122.0,7,3.39,3.39,22.7,64.0,4650.0,36.0,42.0,215900.0
65.0,0.0,42,1,1,2,2,2,1,98.8,177.8,66.5,55.5,2425.0,3,1,122.0,2,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,224900.0
66.0,0.0,43,1,1,2,3,1,1,104.9,175.0,66.1,54.4,2670.0,3,1,140.0,1,3.76,3.16,8.0,120.0,5000.0,19.0,27.0,365600.0
67.0,0.0,44,2,1,2,3,1,1,104.9,175.0,66.1,54.4,2700.0,3,1,134.0,7,3.43,3.64,22.0,72.0,4200.0,31.0,39.0,366880.0
68.0,-1.0,48,2,2,2,3,1,1,110.0,190.9,70.3,56.5,3515.0,3,3,183.0,7,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,511040.0
69.0,-1.0,49,2,2,2,4,1,1,110.0,190.9,70.3,58.7,3750.0,3,3,183.0,7,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,564960.0
70.0,0.0,50,2,2,1,5,1,1,106.7,187.5,70.3,54.9,3495.0,3,3,183.0,7,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,563520.0
72.0,-1.0,51,1,1,2,3,1,1,115.6,202.6,71.7,56.5,3740.0,2,6,234.0,1,3.46,3.1,8.3,155.0,4750.0,16.0,18.0,683680.0
73.0,3.0,52,1,1,1,1,1,1,96.6,180.3,70.5,50.8,3685.0,2,6,234.0,1,3.46,3.1,8.3,155.0,4750.0,16.0,18.0,701120.0
74.0,0.0,53,1,1,2,3,1,1,120.9,208.1,71.7,56.7,3900.0,2,6,308.0,1,3.8,3.35,8.0,184.0,4500.0,14.0,16.0,819200.0
75.0,1.0,54,1,1,1,5,1,1,112.0,199.2,72.0,55.4,3715.0,2,6,304.0,1,3.8,3.35,8.0,184.0,4500.0,14.0,16.0,908000.0
